Relatório de Turnos
Por SISTEMA BOT em 08/11/2025

Código,Descrição,Dia,1ª Entrada prevista,1ª Saída prevista,2ª Entrada prevista,2ª Saída prevista,Ignora feriados,Intervalo flexível,Intervalo pré-assinalado,Saída (Intervalo principal),Retorno (Intervalo principal),Jornada flexível,Limite de horas extras,Status,Tipo,Tolerância em jornada flexível,Turno avançado,Virada do turno
0047,ADM-RH,Domingo,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0047,ADM-RH,Segunda-feira,08:00,12:00,13:00,18:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0047,ADM-RH,Terça-feira,08:00,12:00,13:00,18:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0047,ADM-RH,Quarta-feira,08:00,12:00,13:00,18:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0047,ADM-RH,Quinta-feira,08:00,12:00,13:00,18:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0047,ADM-RH,Sexta-feira,08:00,12:00,13:00,18:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0047,ADM-RH,Sábado,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Domingo,08:00,20:00,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Segunda-feira,,,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Terça-feira,,,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Quarta-feira,,,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Quinta-feira,,,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Sexta-feira,,,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
047,DOMINGO 12H,Sábado,,,,,Sim,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Domingo,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Segunda-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Terça-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Quarta-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Quinta-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Sexta-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0048,APRENDIZ-TO(1),Sábado,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Domingo,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Segunda-feira,14:00,18:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Terça-feira,14:00,18:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Quarta-feira,14:00,18:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Quinta-feira,14:00,18:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Sexta-feira,14:00,18:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0049,JOVEM APRENDIZ-TO(2),Sábado,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Domingo,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Segunda-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Terça-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Quarta-feira,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Quinta-feira,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Sexta-feira,08:00,12:00,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
51,JOVEM APRENDIZ (16H_IS),Sábado,08:00,12:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0052,FOLGUISTA - PS,Dia 1,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Customizado,Não,Não,12:00
0052,FOLGUISTA - PS,Dia 2,00:00,02:00,02:30,07:30,Não,Sim,Não,,,Sim,23:59,Ativo,Customizado,Não,Não,23:59


0.316942249
